iter	Passed	Remaining
0	142	142161
1	142	71239
2	143	47562
3	143	35737
4	143	28639
5	144	23918
6	144	20526
7	144	17976
8	145	15993
9	145	14419
10	146	13130
11	146	12063
12	146	11149
13	147	10376
14	147	9698
15	148	9110
16	148	8589
17	148	8124
18	149	7711
19	149	7337
20	150	6998
21	150	6691
22	150	6405
23	151	6146
24	151	5918
25	152	5710
26	153	5515
27	153	5324
28	153	5145
29	154	4983
30	154	4829
31	155	4690
32	155	4558
33	156	4436
34	156	4321
35	157	4207
36	157	4099
37	157	3996
38	158	3901
39	158	3810
40	159	3722
41	159	3641
42	159	3559
43	160	3484
44	160	3411
45	160	3337
46	161	3270
47	161	3206
48	162	3146
49	162	3087
50	162	3031
51	163	2977
52	163	2923
53	164	2873
54	164	2826
55	164	2781
56	165	2737
57	165	2695
58	166	2656
59	167	2616
60	167	2577
61	167	2540
62	168	2506
63	168	2471
64	170	2447
65	170	2414
66	171	2381
67	171	2349
68	171	2319
69	172	2290
70	172	2261
71	173	2233
72	173	2204
73	174	2177
74	174	2151
75	174	2125
76	175	2100
77	175	2075
78	175	2051
79	176	2028
80	176	2005
81	177	1983
82	177	1961
83	177	1940
84	178	1919
85	178	1900
86	179	1881
87	179	1861
88	180	1843
89	180	1825
90	181	1808
91	181	1791
92	181	1774
93	182	1762
94	183	1747
95	183	1731
96	184	1714
97	184	1698
98	185	1684
99	185	1669
100	185	1653
101	186	1638
102	186	1625
103	187	1611
104	187	1598
105	187	1585
106	188	1572
107	188	1560
108	189	1547
109	189	1534
110	190	1522
111	190	1510
112	190	1497
113	191	1486
114	191	1474
115	192	1464
116	192	1453
117	193	1443
118	193	1433
119	194	1423
120	194	1412
121	194	1401
122	195	1393
123	195	1384
124	196	1374
125	196	1365
126	197	1356
127	197	1347
128	198	1338
129	198	1329
130	199	1321
131	199	1312
132	200	1304
133	200	1296
134	201	1288
135	201	1281
136	202	1273
137	202	1265
138	202	1256
139	203	1248
140	203	1241
141	204	1233
142	204	1226
143	205	1219
144	205	1212
145	206	1205
146	206	1198
147	207	1191
148	207	1184
149	207	1178
150	209	1179
151	210	1172
152	210	1166
153	211	1160
154	211	1153
155	212	1147
156	212	1140
157	212	1134
158	213	1128
159	213	1122
160	214	1116
161	214	1110
162	215	1104
163	215	1098
164	215	1092
165	216	1086
166	216	1079
167	217	1077
168	218	1073
169	218	1068
170	219	1064
171	220	1059
172	220	1055
173	222	1055
174	222	1050
175	223	1045
176	224	1042
177	224	1037
178	225	1032
179	225	1028
180	226	1023
181	226	1018
182	226	1013
183	227	1008
184	227	1003
185	228	999
186	228	994
187	229	989
188	229	985
189	230	980
190	230	976
191	230	971
192	231	967
193	232	965
194	232	961
195	233	957
196	234	956
197	235	951
198	235	947
199	235	943
200	236	939
201	237	937
202	237	933
203	238	928
204	238	925
205	239	921
206	239	917
207	239	913
208	240	909
209	240	905
210	241	901
211	241	897
212	241	894
213	242	890
214	242	886
215	243	883
216	243	879
217	244	876
218	244	872
219	245	868
220	245	865
221	246	862
222	246	859
223	247	856
224	247	852
225	248	850
226	248	847
227	249	844
228	249	841
229	250	837
230	251	836
231	251	833
232	252	829
233	252	826
234	252	823
235	253	820
236	253	817
237	254	814
238	254	810
239	255	808
240	255	805
241	256	802
242	256	799
243	256	796
244	257	793
245	257	790
246	258	787
247	258	784
248	259	782
249	259	779
250	260	776
251	260	773
252	261	770
253	261	767
254	261	765
255	262	762
256	262	760
257	263	757
258	263	754
259	264	752
260	264	749
261	265	746
262	265	744
263	266	741
264	266	739
265	266	736
266	267	734
267	267	731
268	268	729
269	268	726
270	269	724
271	269	722
272	270	719
273	270	717
274	271	714
275	271	712
276	272	710
277	272	707
278	273	705
279	273	703
280	274	701
281	274	699
282	275	696
283	275	694
284	275	692
285	276	689
286	276	687
287	277	685
288	277	683
289	278	680
290	278	678
291	278	676
292	279	674
293	279	672
294	280	669
295	280	667
296	281	665
297	281	663
298	282	661
299	282	659
300	283	657
301	283	655
302	283	653
303	284	650
304	284	649
305	285	647
306	285	644
307	286	642
308	286	640
309	287	638
310	287	636
311	287	634
312	288	633
313	288	631
314	289	629
315	289	627
316	290	625
317	290	623
318	291	621
319	291	619
320	292	617
321	292	615
322	292	614
323	293	612
324	293	610
325	294	608
326	294	606
327	295	604
328	295	602
329	296	600
330	296	599
331	296	597
332	297	595
333	297	594
334	298	592
335	298	590
336	299	589
337	299	587
338	300	585
339	300	583
340	301	582
341	301	580
342	302	578
343	302	577
344	303	575
345	303	573
346	304	572
347	304	571
348	305	569
349	305	567
350	306	566
351	306	564
352	307	562
353	307	561
354	308	559
355	308	558
356	308	556
357	309	554
358	309	553
359	310	551
360	310	550
361	311	548
362	311	546
363	312	545
364	312	543
365	313	542
366	313	540
367	313	539
368	314	537
369	314	536
370	315	534
371	315	532
372	316	531
373	316	529
374	317	528
375	317	526
376	317	525
377	318	523
378	318	522
379	319	520
380	319	519
381	320	517
382	320	516
383	320	514
384	321	513
385	321	512
386	322	510
387	322	509
388	323	507
389	323	506
390	324	504
391	324	503
392	325	502
393	325	501
394	326	499
395	326	498
396	327	496
397	327	495
398	328	494
399	328	492
400	328	491
401	329	490
402	329	488
403	330	487
404	330	485
405	331	484
406	331	483
407	332	481
408	332	480
409	332	479
410	333	477
411	333	476
412	334	475
413	334	473
414	335	472
415	335	471
416	336	469
417	336	468
418	337	467
419	337	466
420	338	464
421	338	463
422	338	462
423	339	461
424	339	459
425	340	458
426	340	457
427	341	456
428	341	454
429	342	453
430	342	452
431	343	451
432	343	450
433	344	448
434	344	447
435	345	446
436	345	445
437	345	443
438	346	442
439	346	441
440	347	440
441	347	439
442	348	437
443	348	436
444	349	435
445	349	434
446	349	432
447	350	431
448	350	430
449	351	429
450	351	428
451	352	427
452	352	425
453	353	424
454	353	423
455	354	422
456	354	421
457	355	420
458	355	419
459	356	418
460	356	417
461	357	415
462	357	414
463	358	413
464	358	412
465	359	412
466	360	410
467	360	409
468	361	408
469	361	407
470	362	406
471	362	405
472	363	404
473	363	403
474	363	402
475	364	401
476	364	400
477	365	399
478	365	397
479	366	396
480	366	395
481	367	394
482	367	393
483	368	392
484	368	391
485	369	390
486	369	389
487	370	388
488	370	387
489	371	386
490	371	385
491	372	384
492	372	383
493	373	382
494	373	381
495	374	380
496	374	379
497	375	378
498	376	377
499	376	376
500	377	375
501	377	374
502	378	373
503	378	372
504	378	371
505	379	370
506	379	369
507	380	368
508	380	367
509	381	366
510	381	365
511	382	364
512	382	363
513	383	362
514	383	361
515	384	360
516	384	359
517	385	358
518	385	357
519	386	356
520	386	355
521	387	354
522	387	353
523	388	352
524	388	351
525	389	350
526	389	349
527	390	348
528	390	347
529	390	346
530	391	345
531	391	344
532	392	343
533	392	342
534	393	341
535	393	340
536	394	339
537	394	339
538	395	337
539	395	337
540	396	336
541	396	335
542	397	334
543	397	333
544	397	332
545	398	331
546	398	330
547	399	329
548	399	328
549	400	327
550	401	326
551	401	325
552	401	324
553	402	323
554	402	323
555	403	322
556	403	321
557	404	320
558	404	319
559	405	318
560	405	317
561	406	316
562	406	315
563	407	314
564	407	313
565	407	312
566	408	311
567	408	310
568	409	310
569	410	309
570	410	308
571	411	307
572	411	306
573	412	305
574	412	304
575	412	303
576	413	303
577	413	302
578	414	301
579	414	300
580	415	299
581	415	298
582	416	297
583	416	296
584	417	295
585	417	295
586	418	294
587	418	293
588	419	292
589	419	291
590	420	290
591	420	289
592	421	289
593	421	288
594	422	287
595	422	286
596	423	285
597	423	284
598	424	283
599	424	283
600	425	282
601	425	281
602	426	280
603	427	279
604	427	279
605	428	278
606	428	277
607	429	276
608	429	275
609	430	274
610	430	274
611	431	273
612	432	272
613	432	272
614	433	271
615	433	270
616	434	269
617	434	268
618	435	267
619	435	266
620	435	266
621	436	265
622	436	264
623	437	263
624	437	262
625	438	261
626	438	261
627	439	260
628	439	259
629	440	258
630	440	257
631	441	256
632	441	256
633	442	255
634	442	254
635	443	253
636	443	252
637	443	251
638	444	251
639	444	250
640	445	249
641	445	248
642	446	247
643	446	246
644	447	246
645	447	245
646	447	244
647	448	243
648	448	242
649	449	241
650	449	241
651	450	240
652	450	239
653	451	238
654	451	237
655	451	236
656	452	236
657	452	235
658	453	234
659	453	233
660	454	232
661	454	232
662	455	231
663	455	230
664	455	229
665	456	228
666	456	228
667	457	227
668	457	226
669	458	225
670	458	224
671	459	224
672	459	223
673	459	222
674	460	221
675	460	220
676	461	220
677	461	219
678	462	218
679	462	217
680	463	216
681	463	216
682	464	215
683	464	214
684	464	213
685	465	213
686	465	212
687	466	211
688	466	210
689	467	209
690	467	209
691	468	208
